metric,all_pct,all_n,all_den,fw_pct,fw_n,fw_den,nonfw_pct,nonfw_n,nonfw_den,diff_fw_minus_nonfw,p_value,sig,fw_higher,note
Good Partners,84.2,64,76,90.0,36,40,77.8,28,36,12.2,0.2526,,✓,agree/somewhat
Worrying Partners,52.6,40,76,55.0,22,40,50.0,18,36,5.0,0.8369,,✓,agree/somewhat
