figure,category,fw_value,nonfw_value,diff_fw_minus_nonfw,p_value,significant,test
overview_kpis.png,Renters,2.6,8.6,-6.0,0.3388,False,2-prop χ²/Fisher
hardening_reasons_not_made.png,Do not own my home,2.5,8.3,-5.8,0.3398,False,2-prop χ²/Fisher
defensible_vegetation_activities.png,Clear understory near trees/large shrubs,66.7,47.1,19.6,0.3504,False,2-prop χ²/Fisher
community_discussed_with.png,Other,10.3,2.9,7.4,0.3614,False,2-prop χ²/Fisher
risk_info_sources.png,Reverse 911 call,41.7,16.7,25.0,0.3707,False,2-prop χ²/Fisher
defensible_vegetation_activities.png,Other,20.8,5.9,14.9,0.3725,False,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,No opportunity to engage,0.0,11.1,-11.1,0.375,False,2-prop χ²/Fisher
defensible_zone_actions.png,Zone 1: Large shrub branches removed,79.0,73.7,5.3,0.3825,False,2-prop χ²/Fisher
defensible_vegetation_activities.png,HOA maintains exterior structures,0.0,5.9,-5.9,0.4146,False,2-prop χ²/Fisher
defensible_vegetation_activities.png,None of the above,0.0,5.9,-5.9,0.4146,False,2-prop χ²/Fisher
defensible_zone_actions.png,Zone 2: Shrub clumps horizontally separated,45.7,32.0,13.7,0.4227,False,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Practiced household evacuation drill,12.5,5.6,6.9,0.4353,False,2-prop χ²/Fisher
community_discussed_with.png,Prefer not to answer,0.0,2.9,-2.9,0.473,False,2-prop χ²/Fisher
risk_info_sources.png,Sirens,16.7,0.0,16.7,0.4783,False,2-prop χ²/Fisher
preparedness_activities.png,Structural hardening upgrades,8.5,5.8,2.7,0.4873,False,2-prop χ²/Fisher
community_infrastructure.png,Neighborhood has a Beacon Box,5.1,0.0,5.1,0.4946,False,2-prop χ²/Fisher
preparedness_activities.png,Household emergency planning,17.0,13.6,3.4,0.503,False,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Structural hardening / retrofit,40.0,30.6,9.4,0.5359,False,2-prop χ²/Fisher
defensible_vegetation_activities.png,Clear vegetation overhead & beside roads,50.0,35.3,14.7,0.5383,False,2-prop χ²/Fisher
