option,n_all,pct_all,fw_n,fw_pct,nonfw_n,nonfw_pct,diff_fw_minus_nonfw,p_value,sig,fw_higher
Firewise Community,145,47.4,145,87.9,0,0.0,87.9,0.0,***,✓
None of the above,97,31.7,6,3.6,91,64.5,-60.9,0.0,***,
Homeowners Association (HOA),80,26.1,42,25.5,38,27.0,-1.5,0.8679,,
Other,23,7.5,14,8.5,9,6.4,2.1,0.6329,,✓
Road Association,13,4.2,10,6.1,3,2.1,4.0,0.1568,,✓
