option,n_all,pct_all,fw_n,fw_pct,nonfw_n,nonfw_pct,diff_fw_minus_nonfw,p_value,sig,fw_higher
Other,21,27.6,15,37.5,6,16.7,20.8,0.0765,,✓
Already completed / already done,12,15.8,9,22.5,3,8.3,14.2,0.1688,,✓
None of the above,12,15.8,6,15.0,6,16.7,-1.7,1.0,,
Unnecessary (would not increase resilience),11,14.5,2,5.0,9,25.0,-20.0,0.0317,*,
HOA maintains exterior structures,10,13.2,5,12.5,5,13.9,-1.4,1.0,,
Didn't know it was a problem,7,9.2,4,10.0,3,8.3,1.7,1.0,,✓
No financial means,7,9.2,4,10.0,3,8.3,1.7,1.0,,✓
Do not own my home,4,5.3,1,2.5,3,8.3,-5.8,0.3398,,
Prefer not to answer,2,2.6,1,2.5,1,2.8,-0.3,1.0,,
